PM	PM	ˌpiː.ˈem	p-piːe,m-m	SUFFIX_NONE	NULL	p	2	2	2	54765
PM's	PM	ˌpiː.ˈemz	p-piːe,m-m,'-,s-z	SUFFIX_ADD	's	p	4	4	2	54765
Palestinian	Palestinian	ˌpæl.ə.ˈstɪn.ɪ.ən	p-p,a-æ,l-l,e-ə,s-s,t-t,i-ɪ,n-n,i-ɪ,a-ə,n-n	SUFFIX_NONE	NULL	pal.e.stin.i.an	11	11	5	14008
Palestinians	Palestinian	ˌpæl.ə.ˈstɪn.ɪ.ənz	p-p,a-æ,l-l,e-ə,s-s,t-t,i-ɪ,n-n,i-ɪ,a-ə,n-n,s-z	SUFFIX_ADD	s	pal.e.stin.i.ans	12	12	5	14008
Persian	Persian	ˈpɜː.ʃən	p-p,er-ɜː,si-ʃ,a-ə,n-n	SUFFIX_NONE	NULL	per.sian	7	5	2	6340
Persian's	Persian	ˈpɜː.ʃənz	p-p,er-ɜː,si-ʃ,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	per.sian's	9	7	2	6340
Persians	Persian	ˈpɜː.ʃənz	p-p,er-ɜː,si-ʃ,a-ə,n-n,s-z	SUFFIX_ADD	s	per.sians	8	6	2	6340
Republican	Republican	rɪ.ˈpʌ.blɪ.kən	r-r,e-ɪ,p-p,u-ʌ,b-b,l-l,i-ɪ,c-k,a-ə,n-n	SUFFIX_NONE	NULL	re.pu.bli.can	10	10	4	71611
Roman	Roman	ˈrəʊ.mən	r-r,o-əʊ,m-m,a-ə,n-n	SUFFIX_NONE	NULL	ro.man	5	5	2	8299
Roman's	Roman	ˈrəʊ.mənz	r-r,o-əʊ,m-m,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	ro.man's	7	7	2	8299
Romans	Roman	ˈrəʊ.mənz	r-r,o-əʊ,m-m,a-ə,n-n,s-z	SUFFIX_ADD	s	ro.mans	6	6	2	8299
Russian	Russian	ˈrʌ.ʃən	r-r,u-ʌ,ssi-ʃ,a-ə,n-n	SUFFIX_NONE	NULL	rus.sian	7	5	2	23739
Russian's	Russian	ˈrə.ʃənz	r-r,u-ə,ssi-ʃ,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	rus.sian's	9	7	2	23739
Russians	Russian	ˈrʌ.ʃənz	r-r,u-ʌ,ssi-ʃ,a-ə,n-n,s-z	SUFFIX_ADD	s	rus.sians	8	6	2	23739
Senate	Senate	ˈse.nɪt	s-s,e-e,n-n,a-ɪ,t-t,e-	SUFFIX_NONE	NULL	se.nate	6	6	2	36809
Soviet	Soviet	ˈsəʊ.vɪət	s-s,o-əʊ,v-v,i-ɪ,e-ə,t-t	SUFFIX_NONE	NULL	so.viet	6	6	2	36193
Spanish	Spanish	ˈspæ.nɪʃ	s-s,p-p,a-æ,n-n,i-ɪ,sh-ʃ	SUFFIX_NONE	NULL	spa.nish	7	6	2	15512
Spanish's	Spanish	ˈspæ.nɪʃ.ɪz	s-s,p-p,a-æ,n-n,i-ɪ,sh-ʃ,'-,s-ɪz	SUFFIX_ADD	's	spa.nish.'s	9	8	3	15512
Supreme	Supreme	suː.ˈpriːm	s-s,u-uː,p-p,r-r,e.e-iː,m-m	SUFFIX_NONE	NULL	su.preme	7	6	2	23904
T-shirt	T-shirt	ˈtiː.ʃɜrt	t-tiː,--,sh-ʃ,ir-ɜr,t-t	SUFFIX_NONE	NULL	t.shirt	7	5	2	8386
TV	TV	ˌtiː.ˈviː	t-tiː,v-viː	SUFFIX_NONE	NULL	t.v	2	2	2	49438
TV's	TV	ˌtiː.ˈviːz	t-tiː,v-viː,'-,s-z	SUFFIX_ADD	's	t.v's	4	4	2	49438
TVs	TV	ˌtiː.ˈviːz	t-tiː,v-viː,s-z	SUFFIX_ADD	s	t.vs	3	3	2	49438
Thanksgiving	Thanksgiving	θænks.ˈɡɪv.ɪŋ	th-θ,a-æ,n-n,k-k,s-s,g-ɡ,i-ɪ,v-v,i-ɪ,ng-ŋ	SUFFIX_NONE	NULL	thanks.giv.ing	12	10	3	5859
United	United	juː.ˈnaɪ.tɪd	u-juː,n-n,i-aɪ,t-t,e-ɪ,d-d	SUFFIX_NONE	NULL	u.ni.ted	6	6	3	26396
a	a	eɪ	a-eɪ	SUFFIX_NONE	NULL	a	1	1	1	10144200
abandon	abandon	ə.ˈbæn.dən	a-ə,b-b,a-æ,n-n,d-d,o-ə,n-n	SUFFIX_NONE	NULL	a.ban.don	7	7	3	15323
abandoned	abandon	ə.ˈbæn.dənd	a-ə,b-b,a-æ,n-n,d-d,o-ə,n-n,ed-d	SUFFIX_ADD	ed	a.ban.doned	9	8	3	15323
abandoning	abandon	ə.ˈbæn.dən.ɪŋ	a-ə,b-b,a-æ,n-n,d-d,o-ə,n-n,i-ɪ,ng-ŋ	SUFFIX_ADD	ing	a.ban.don.ing	10	9	4	15323
abandons	abandon	ə.ˈbæn.dənz	a-ə,b-b,a-æ,n-n,d-d,o-ə,n-n,s-z	SUFFIX_ADD	s	a.ban.dons	8	8	3	15323
abilities	ability	ə.ˈbɪ.lə.tiz	a-ə,b-b,i-ɪ,l-l,i-ə,t-t,ie-i,s-z	SUFFIX_CHANGE	es	a.bi.li.ties	9	8	4	51476
ability	ability	ə.ˈbɪ.lə.ti	a-ə,b-b,i-ɪ,l-l,i-ə,t-t,y-i	SUFFIX_NONE	NULL	a.bi.li.ty	7	7	4	51476
ability's	ability	ə.ˈbɪ.lə.tiz	a-ə,b-b,i-ɪ,l-l,i-ə,t-t,y-i,'-,s-z	SUFFIX_ADD	's	a.bi.li.ty's	9	9	4	51476
able	able	ˈeɪb.əl	a-eɪ,b-b,le-əl	SUFFIX_NONE	NULL	ab.le	4	3	2	103171
abler	able	ˈeɪ.blər	a-eɪ,b-b,l-l,e-ə,r-r	SUFFIX_DROP	er	a.bler	5	5	2	103171
ablest	able	ˈeɪ.blɪst	a-eɪ,b-b,l-l,e-ɪ,s-s,t-t	SUFFIX_DROP	est	a.blest	6	6	2	5001
ably	able	ˈeɪ.bli	a-eɪ,b-b,l-l,y-i	SUFFIX_NONE	NULL	a.bly	4	4	2	5001
abortion	abortion	ə.ˈbɔːʃ.ən	a-ə,b-b,or-ɔː,ti-ʃ,o-ə,n-n	SUFFIX_NONE	NULL	a.bor.tion	8	6	3	18925
abortion's	abortion	ə.ˈbɔːʃ.ənz	a-ə,b-b,or-ɔː,ti-ʃ,o-ə,n-n,'-,s-z	SUFFIX_ADD	's	a.bor.tion's	10	8	3	18925
abortions	abortion	ə.ˈbɔːʃ.ənz	a-ə,b-b,or-ɔː,ti-ʃ,o-ə,n-n,s-z	SUFFIX_ADD	s	a.bor.tions	9	7	3	18925
about	about	ə.ˈbaʊt	a-ə,b-b,ou-aʊ,t-t	SUFFIX_NONE	NULL	a.bout	5	4	2	874406
above	above	ə.ˈbʌv	a-ə,b-b,o.e-ʌ,v-v	SUFFIX_NONE	NULL	a.bove	5	4	2	44130
abroad	abroad	ə.ˈbrɔːd	a-ə,b-b,r-r,oa-ɔː,d-d	SUFFIX_NONE	NULL	a.broad	6	5	2	8788
absence	absence	ˈæb.səns	a-æ,b-b,s-s,e-ə,n-n,ce-s	SUFFIX_NONE	NULL	ab.sence	7	6	2	13597
absence's	absence	ˈæb.sən.sɪz	a-æ,b-b,s-s,e-ə,n-n,c-s,e-ɪ,'-,s-z	SUFFIX_ADD	's	ab.sen.ce's	9	9	3	13597
absences	absence	ˈæb.sən.sɪz	a-æ,b-b,s-s,e-ə,n-n,c-s,e-ɪ,s-z	SUFFIX_ADD	s	ab.sen.ces	8	8	3	13597
absolute	absolute	ˈæb.sə.luːt	a-æ,b-b,s-s,o-ə,l-l,u.e-uː,t-t	SUFFIX_NONE	NULL	ab.so.lute	8	7	3	9622
absolutely	absolutely	ˈæb.sə.luːt.li	a-æ,b-b,s-s,o-ə,l-l,u.e-uː,t-t,l-l,y-i	SUFFIX_NONE	NULL	ab.so.lute.ly	10	9	4	36740
absoluteness	absolute	ˈæb.sə.luːt.nəs	a-æ,b-b,s-s,o-ə,l-l,u.e-uː,t-t,n-n,e-ə,ss-s	SUFFIX_ADD	ness	ab.so.lute.ness	12	10	4	9622
absoluteness's	absolute	ˈæb.sə.luːt.nəsɪz	a-æ,b-b,s-s,o-ə,l-l,u.e-uː,t-t,n-n,e-ə,ss-s,'-,s-ɪz	SUFFIX_ADD	's	ab.so.lute.ness's	14	12	4	9622
absolutenesses	absolute	<absolutenesses>	NULL	SUFFIX_ADD	nesses	absolutenesses	14	1	1	9622
absoluter	absolute	<absoluter>	NULL	SUFFIX_DROP	er	absoluter	9	1	1	9622
absolutes	absolute	ˈæb.sə.ˌluːts	a-æ,b-b,s-s,o-ə,l-l,u.e-uː,t-t,s-s	SUFFIX_ADD	s	ab.so.lutes	9	8	3	9622
absolutest	absolute	<absolutest>	NULL	SUFFIX_DROP	est	absolutest	10	1	1	5001
absorb	absorb	əb.ˈzɔːb	a-ə,b-b,s-z,or-ɔː,b-b	SUFFIX_NONE	NULL	ab.sorb	6	5	2	9762
absorbed	absorb	əb.ˈzɔːbd	a-ə,b-b,s-z,or-ɔː,b-b,ed-d	SUFFIX_ADD	ed	ab.sorbed	8	6	2	9762
absorbing	absorb	əb.ˈzɔːb.ɪŋ	a-ə,b-b,s-z,or-ɔː,b-b,i-ɪ,ng-ŋ	SUFFIX_ADD	ing	ab.sorb.ing	9	7	3	9762
absorbs	absorb	əb.ˈzɔːbz	a-ə,b-b,s-z,or-ɔː,b-b,s-z	SUFFIX_ADD	s	ab.sorbs	7	6	2	9762
abstract	abstract	ˈæb.strækt	a-æ,b-b,s-s,t-t,r-r,a-æ,c-k,t-t	SUFFIX_NONE	NULL	ab.stract	8	8	2	7165
abstracted	abstract	ˈæb.stræk.tɪd	a-æ,b-b,s-s,t-t,r-r,a-æ,c-k,t-t,e-ɪ,d-d	SUFFIX_ADD	ed	ab.strac.ted	10	10	3	7165
abstracter	abstract	ˈæb.stræk.tər	a-æ,b-b,s-s,t-t,r-r,a-æ,c-k,t-t,e-ə,r-r	SUFFIX_ADD	er	ab.strac.ter	10	10	3	7165
abstractest	abstract	<abstractest>	NULL	SUFFIX_ADD	est	abstractest	11	1	1	5001
abstracting	abstract	ˈæb.strækt.ɪŋ	a-æ,b-b,s-s,t-t,r-r,a-æ,c-k,t-t,i-ɪ,ng-ŋ	SUFFIX_ADD	ing	ab.stract.ing	11	10	3	7165
abstractly	abstract	ˈæb.strækt.li	a-æ,b-b,s-s,t-t,r-r,a-æ,c-k,t-t,l-l,y-i	SUFFIX_ADD	ly	ab.stract.ly	10	10	3	5001
abstractness	abstract	<abstractness>	NULL	SUFFIX_ADD	ness	abstractness	12	1	1	7165
